athlete_full_name,country_id,athlete_id
Pim VAN VUGT,61.0,544
Kjetil BORCH,18.0,545
Olaf TUFTE,18.0,546
Andy MURRAY,131.0,547
Juulia TURKKILA,110.0,548
Matthias VERSLUIS,110.0,549
Mikita BORYKAU,125.0,550
Aleh YURENIA,125.0,551
Thom GICQUEL,54.0,552
Delphine DELRUE,54.0,553
Aleksey Stulnev,147.0,554
Vasiliy KONDRATENKO,147.0,555
Edson Isaias FREITAS DA SILVA,56.0,556
Gilvan BITENCOURT RIBEIRO,56.0,557
Sania MIRZA,126.0,558
Rohan BOPANNA,126.0,559
Madison CHOCK,71.0,560
Evan BATES,71.0,561
Cayetano GARCIA,127.0,562
Pablo MARTINEZ,127.0,563
Kana MURAMOTO,122.0,564
Chris REED,122.0,565
Markus BOCKERMANN,29.0,566
Lars FLUGGEN,29.0,567
Felipe CARDENAS MORALES,69.0,568
Bernardo GUERRERO DIAZ,69.0,569
Nelli ZHIGANSHINA,29.0,570
Alexander GAZSI,29.0,571
Vladislav JURZHAKOV,27.0,572
Vladimir MACHNUTIN,27.0,573
Balazs ADOLF,9.0,574
Daniel FEJES,9.0,575
Tamara CSIPES,9.0,576
Erika MEDVECZKY,9.0,577
Alexandra NEMICH,82.0,578
Yekaterina NEMICH,82.0,579
Julius THOLE,29.0,580
Clemens WICKLER,29.0,581
Emily NISHIKAWA,81.0,582
Dahria BEATTY,81.0,583
Luke PATIENCE,131.0,584
Chris GRUBE,131.0,585
Aino-Kaisa SAARINEN,110.0,586
Kerttu NISKANEN,110.0,587
Martin NOERL,29.0,588
Jana FISCHER,29.0,589
Elana MEYERS TAYLOR,71.0,590
Sylvia HOFFMAN,71.0,591
Yashaswini Singh DESWAL,126.0,592
Abhishek VERMA,126.0,593
Karen ROCO,69.0,594
Maria MAILLIARD,69.0,595
Hermien PETERS,72.0,596
Lize BROEKX,72.0,597
Marcus DANIELL,51.0,598
Michael VENUS,51.0,599
Annekatrin THIELE,92.0,600
Leonie MENZEL,92.0,601
Imanol ROJO,127.0,602
Marti VIGO DEL ARCO,127.0,603
Miriam WELTE,29.0,604
Kristina VOGEL,29.0,605
Kerstin HARTMANN,29.0,606
Kathrin MARCHAND,29.0,607
Victoria JURCZOK,29.0,608
Anika LORENZ,29.0,609
Gil COHEN,11.0,610
Nina AMIR,11.0,611
Pamela WARE,81.0,612
Anabelle SMITH,7.0,613
Sharleen STRATTON,7.0,614
Liudmyla LUZAN,36.0,615
Anastasiia CHETVERIKOVA,36.0,616
Laurine VAN RIESSEN,61.0,617
Shanne BRASPENNINCX,61.0,618
Nick CUNNINGHAM,71.0,619
Hakeem ABDUL-SABOOR,71.0,620
Eva UREVC,5.0,621
Ying-Shin LIN,88.0,622
Shao-Chuan LU,88.0,623
Yulia TIKHONOVA,125.0,624
Polina SERONOSOVA,125.0,625
Johanna GOLISZEWSKI,29.0,626
Carla NELTE,29.0,627
Meryl DAVIS,71.0,628
Charlie WHITE,71.0,629
Anouk GEURTS,72.0,630
Isaura MAENHAUT VAN LEMBERGE,72.0,631
Ancuta BODNAR,91.0,632
Simona RADIS,91.0,633
Gabriella SZABO,9.0,634
Danuta KOZAK,9.0,635
Anastasia GLOUSHKOV LEVENTHAL,11.0,636
Ievegeniia TETELBAUM,11.0,637
Gemma JONES,51.0,638
Jason SAUNDERS,51.0,639
Nicole DELLA MONICA,90.0,640
Matteo GUARISE,90.0,641
Pedro COSTA,123.0,642
Diogo COSTA,123.0,643
Justyna KOWALCZYK,14.0,644
Sylwia JASKOWIEC,14.0,645
Jamie BRODER,81.0,646
Kristina VALJAS,81.0,647
Alexander SIGURBJORNSSON,127.0,648
Pau VELA MAGGI,127.0,649
Keiko MIYAGAWA,122.0,650
Sena TAKANO,122.0,651
Alyssa BULL,7.0,652
Alyce BURNETT,7.0,653
Anna BURNET,131.0,654
John GIMSON,131.0,655
Barbora HERMANNOVA,50.0,656
Marketa SLUKOVA,50.0,657
Mohamed Arafet NACEUR,99.0,658
Choaib BELHAJ SALAH,99.0,659
Tingmao SHI,19.0,660
Minxia WU,19.0,661
Justin KREWSON,71.0,662
Andrew SHERK,71.0,663
Maximilian ARNDT,29.0,664
Alexander ROEDIGER,29.0,665
Nicholas ROBINSON-BAKER,131.0,666
Tristan WALKER,81.0,667
Justin SNITH,81.0,668
Izabela MARCISZ,14.0,669
Monika SKINDER,14.0,670
Chunxue CHI,19.0,671
Xin LI,19.0,672
Aliaksandr VORANAU,125.0,673
Yahor SHPUNTAU,125.0,674
Natalya SERGEYEVA,82.0,675
Irina PODOINIKOVA,82.0,676
Carla SUAREZ NAVARRO,127.0,677
David FERRER,127.0,678
Cyril MIRANDA,54.0,679
Jean Marc GAILLARD,54.0,680
Yebo HUANG,19.0,681
Junyue PENG,19.0,682
Vili CRV,5.0,683
Miha SIMENC,5.0,684
Omar ASSAR,132.0,685
Dina MESHREF,132.0,686
Amalie DIDERIKSEN,118.0,687
Julie LETH,118.0,688
Mikhail SIAMIONAU,125.0,689
Yuriy Astapenko,125.0,690
Aleksandra RODIONOVA,147.0,691
Yulia BELOMESTNYKH,147.0,692
Nivaldo Nadhir DIAZ GOMEZ,46.0,693
Sergio Reynaldo GONZALEZ BAYARD,46.0,694
Samia AHMED,132.0,695
Dara HASSANIEN,132.0,696
Erica DAWSON,51.0,697
Micah WILKINSON,51.0,698
Thibaud TURLAN,54.0,699
Guillaume TURLAN,54.0,700
Charles CORREA,56.0,701
Anderson OLIVEIRA,56.0,702
Nathan OUTTERIDGE,7.0,703
Iain JENSEN,7.0,704
David BOUDIA,71.0,705
Steele JOHNSON,71.0,706
Evgenii KUZNETSOV,27.0,707
Ilya ZAKHAROV,27.0,708
Alexandra STEPANOVA,92.0,709
Ivan BUKIN,92.0,710
Martins BOTS,87.0,711
Roberts PLUME,87.0,712
Maia SHIBUTANI,71.0,713
Alex SHIBUTANI,71.0,714
Xiaoyu YU,19.0,715
Hao ZHANG,19.0,716
Min ZHANG,19.0,717
Tian MIAO,19.0,718
Maddison KEENEY,7.0,719
Ruslan ZHIGANSHIN,27.0,720
Thomas STEU,94.0,721
Lorenz KOLLER,94.0,722
Petr FUKSA,50.0,723
Martin FUKSA,50.0,724
Lorena ABICHT,94.0,725
Tanja FRANK,94.0,726
Eilidh MCINTYRE,131.0,727
Hannah MILLS,131.0,728
Alexander BROUWER,61.0,729
Robert MEEUWSEN,61.0,730
Jazmine FENLATOR-VICTORIAN,59.0,731
Carrie RUSSELL,59.0,732
Devon KERSHAW,81.0,733
Alex HARVEY,81.0,734
Katja VISNAR,5.0,735
Afef BEN ISMAIL,99.0,736
Khaoula SASSI,99.0,737
Jongkolphan KITITHARAKUL,28.0,738
Rawinda PRAJONGJAI,28.0,739
Martin MACKOVIC,37.0,740
Milos VASIC,37.0,741
Rui WANG,19.0,742
Dexin BA,19.0,743
Yasemin ANAGOZ,131.0,744
Mete GAZOZ,131.0,745
Maria KYRIDOU,84.0,746
Christina Ioanna BOURMPOU,84.0,747
Kaitlyn LAWES,81.0,748
John MORRIS,81.0,749
Lucie MYSLIVECKOVA,128.0,750
Lukas CSOLLEY,128.0,751
Winston WATTS,34.0,752
Marvin DIXON,34.0,753
Julia ZLOBINA,4.0,754
Alexei SITNIKOV,4.0,755
Melissa GAL,54.0,756
Lena QUINTIN,54.0,757
Anastasia KIRILLOVA,125.0,758
Hanna KARALIOVA,125.0,759
Gaeun CHOO,20.0,760
Jong Oh JIN,20.0,761
Elena BERTOCCHI,90.0,762
Chiara PELLACANI,90.0,763
Mathias CHRISTIANSEN,118.0,764
Alexandra BOJE,118.0,765
Vanessa COZZI,56.0,766
Fernanda FERREIRA,56.0,767
Yong Dae LEE,20.0,768
Yeon-Seong Yu,20.0,769
Marc LOPEZ,127.0,770
Rafael NADAL,127.0,771
Anna-Lena GROENEFELD,29.0,772
Natalia KALISZEK,14.0,773
Maksym SPODYRIEV,14.0,774
Qiang WANG,19.0,775
Jincai SHANG,19.0,776
Serguey TORRES,46.0,777
Fernando Dayan JORGE,46.0,778
Mayu MATSUMOTO,122.0,779
Wakana NAGAHARA,122.0,780
Jelena OSTAPENKO,87.0,781
Anastasija SEVASTOVA,87.0,782
Kamel AIT DAOUD,64.0,783
Sid Ali BOUDINA,64.0,784
Facundo BAGNIS,144.0,785
Diego SCHWARTZMAN,144.0,786
Nicolas VAN SPRANG,61.0,787
Guillaume KROMMENHOEK,61.0,788
Lidianny ECHEVARRIA BENITEZ,46.0,789
Leila Consuelo MARTINEZ ORTEGA,46.0,790
Martin Johnsrud SUNDBY,18.0,791
Johannes Høsflot Klæbo,18.0,792
Andrew MUSGRAVE,131.0,793
Andrew YOUNG,131.0,794
Serena WILLIAMS,71.0,795
Venus WILLIAMS,71.0,796
Nikola MAZUROVA,50.0,797
David HRCKULAK,50.0,798
Xin XU,19.0,799
Shiwen LIU,19.0,800
Barbara MATZ,94.0,801
